Generator,N,Configurations,Kappa,Autocorrelation,Internal Energy,IE Error,Winding,Winding Error
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAC6CE50>,5,10000,0.71,0.0023,0.6860,0.0156,0.0062,0.0023
<supervillain.generator.combining.Sequentially object at 0x0000025CAAC6D270>,5,10000,0.715,0.0012,0.6578,0.0073,0.0041,0.0012
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAC6D9C0>,5,10000,0.715,0.0022,0.6384,0.0155,0.0029,0.0022
<supervillain.generator.combining.Sequentially object at 0x0000025CAAC6C4F0>,5,10000,0.72,0.0012,0.6493,0.0083,0.0057,0.0012
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAC6D060>,5,10000,0.72,0.0020,0.6496,0.0153,0.0054,0.0020
<supervillain.generator.combining.Sequentially object at 0x0000025CAAC6D690>,5,10000,0.725,0.0011,0.6392,0.0079,0.0062,0.0011
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAC6C640>,5,10000,0.725,0.0025,0.6272,0.0152,0.0047,0.0025
<supervillain.generator.combining.Sequentially object at 0x0000025CAAC6CD00>,5,10000,0.73,0.0013,0.6204,0.0079,0.0040,0.0013
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAC6CAF0>,5,10000,0.73,0.0022,0.6233,0.0139,0.0049,0.0022
<supervillain.generator.combining.Sequentially object at 0x0000025CAAC6FCA0>,5,10000,0.735,0.0011,0.6080,0.0065,0.0041,0.0011
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAC6F0D0>,5,10000,0.735,0.0022,0.5979,0.0151,0.0029,0.0022
<supervillain.generator.combining.Sequentially object at 0x0000025CAAC68A90>,5,10000,0.74,0.0012,0.6114,0.0081,0.0067,0.0012
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAC6A050>,5,10000,0.74,0.0020,0.6011,0.0139,0.0050,0.0020
<supervillain.generator.combining.Sequentially object at 0x0000025CAAC68B80>,5,10000,0.745,0.0012,0.5916,0.0071,0.0042,0.0012
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAC69180>,5,10000,0.745,0.0017,0.5857,0.0116,0.0052,0.0017
